PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Departamento,Año,Departamento_norm,Distancia_PC1_PC2,Cluster,Silhouette,Modelo,K,Silhouette_global
-0.10984404989774421,-0.29858252009407427,0.14078288392623822,0.02200536671696776,-0.2133247327282073,0.05247381765328546,0.2022159439186156,0.02833797615651322,0.14212139975749016,0.1204783453337541,0.03201042699261622,-0.03596535206278318,0.036047581139908386,-0.05473960983980587,0.013350838481176158,0.029317458253760864,Magdalena,2023,MAGDALENA,1.344238694057497,2,0.5591454357412039,K-Means,10,0.47640094416314205
0.3725105372452593,0.2971394281412598,-0.48472806580711497,-0.19423638620048383,-0.14873140725631295,0.20678268040517933,-0.07698209026195058,-0.09801908580658447,-0.19510747598835687,0.05009648900934763,0.07198230783532178,-0.10195679052797987,-0.019970437437953112,-0.08220205257665876,0.03359952158901053,-0.015836276793894433,Meta,2023,META,0.8581140260007583,1,0.6680370314930618,K-Means,10,0.47640094416314205
-0.07791232296048922,-0.3301318768679775,0.11066473532246046,-0.14181931917907992,0.2236100262433981,0.03371586241524649,-0.03182292758211874,0.19514941850050027,-0.15489597532890853,0.04034705267604151,-0.07171751020328092,0.025287945108243823,-0.07473478576781371,0.008817123192035578,0.04567790430142869,-0.033998175482294,Nariño,2023,NARIÑO,1.3218388443305429,2,0.4864413202985551,K-Means,10,0.47640094416314205
0.4007169281402916,-0.27647847791880387,0.01526852820761515,-0.2410731641617655,0.02321027865319325,-0.2139095183483832,0.09302145631990855,-0.17732550840035866,0.15215471578423112,-0.13110132536193472,-0.05797061405933909,0.029173096801354978,-0.15351591939907605,-0.033582286091153477,0.04240468550641857,0.031971542527224284,Norte de Santander,2023,NORTE DE SANTANDER,0.8513172547754057,7,0.8232646520788226,K-Means,10,0.47640094416314205
-0.9648584479655365,0.14059663965106617,-0.0004958171178645054,-0.027016120054012882,0.09032884537682051,-0.07477493539396407,0.06804565924041636,-0.07262722222813142,0.011951755335064512,-0.04301268811231395,-0.029786598306558595,0.1259872021047972,-0.008121672248992323,0.055354886691638766,0.042043966293645776,0.04664622848337188,Putumayo,2023,PUTUMAYO,2.1583323489188637,5,0.24704698625802565,K-Means,10,0.47640094416314205
-1.543022654786283,0.015428842891693106,-0.018584819842153932,-0.09839423804734748,0.09896233464619336,0.05530294429486543,-0.052715904311677664,0.08599195429631887,-0.020150852874823627,0.08629112690510543,0.03549320040083531,-0.020395726611644044,0.059370205136328805,-0.035632934634135596,0.023609908294531072,-0.02521517355870096,Vichada,2023,VICHADA,2.734248148267746,0,0.5753000130256076,K-Means,10,0.47640094416314205
1.039962365890666,0.1958975099799417,0.19274428098195667,0.028213569861482463,0.2978260288372806,-0.19981315760155316,-0.06974477492560782,-0.022565112919489365,0.09466960320826211,0.130071552061517,0.06035874145874871,-0.1450609648437532,0.03678947828009335,-0.02498697128913387,0.00856560958628895,0.027764829426989046,Quindío,2023,QUINDÍO,0.21731515321211253,3,0.434968975449454,K-Means,10,0.47640094416314205
1.1017433354881205,-0.06204602742327908,-0.2578301898976646,0.08917567232350154,0.10877089576169885,-0.006318592793034317,-0.09594252977905648,0.03933905874922945,0.020355586862086023,-0.06641640968207263,0.03106600067717256,0.05501821529412822,0.0038687401971004357,-0.014500445257090561,0.04569324899452084,0.007198096946526664,Santander,2023,SANTANDER,0.13547213719512374,3,0.6164510451987011,K-Means,10,0.47640094416314205
0.10333912357509578,1.0077903158988049,0.3344505167972492,0.4015227458419065,-0.3594830767950252,-0.10426250198910317,-0.00025952317242750045,0.02781311380687418,-0.06256440401316055,0.04803510431674414,-0.024451953911132904,0.03808951772323613,-0.11053631483232086,-0.022605904487498222,0.00328495837265993,-0.01732675040512402,Archipiélago de San Andrés,2023,ARCHIPIÉLAGO DE SAN ANDRÉS,1.4561382807599461,4,0.3589190742053188,K-Means,10,0.47640094416314205
-0.38618528110476413,-0.19912983738715423,0.12506857758846002,0.36154723068564004,0.2284567021144268,0.11242997862921811,0.12526939929659522,0.10510134640419083,-0.049825483140095495,0.03167197538901506,0.1097752607075351,-0.07607959193018933,-0.030663229747507764,0.016058409656592592,-0.01472441948368498,0.02577399604140798,Sucre,2023,SUCRE,1.5952908130521433,2,0.47456705270264643,K-Means,10,0.47640094416314205
0.4530711606472331,0.2824530132250379,0.04926276512561609,0.07790294398990363,0.10110299202362244,0.3353669286725036,-0.025826189919566256,-0.15452695519387902,-0.02344982146810401,-0.06256041640823147,-0.21615340118480986,-0.15257908090415892,-0.009749200016452686,0.051198781105423766,-0.0121734125366495,0.04590561734971399,Tolima,2023,TOLIMA,0.7769237896226417,1,0.7297372901182901,K-Means,10,0.47640094416314205
1.1449906431366907,-0.22430523640575512,0.15308028121381823,-0.261256587681304,-0.2947622399648609,-0.059914373703735924,-0.13448242040704272,0.059189257765399766,-0.22148568725124612,-0.011317438800885642,0.0010513945921198226,0.04481253018890728,0.05468382995205845,-0.008019601811032697,0.003558679224156402,0.008110021366371623,Valle del Cauca,2023,VALLE DEL CAUCA,0.2680662574051857,3,0.4927866579992895,K-Means,10,0.47640094416314205
-1.5286207199117405,-0.18296009626243548,0.07951333190341794,-0.05156221550754214,0.1252296948673592,-0.048705920183817364,-0.25789207447852014,-0.3428105602607121,-0.058097362398910946,0.21164312947188452,0.04150433588029113,0.1096472427549138,-0.04465332528081127,0.010054614109281386,-0.025134621911996308,-0.0006301254795947481,Vaupés,2023,VAUPÉS,2.7288422157004244,0,0.33225941238224177,K-Means,10,0.47640094416314205
